Z	N	symbol	name	half-life (y)	spin	dipole moment (nuclear magnetons)	error (nuclear magnetons)	gyromagnetic ratio (MHz/T)	error (MHz/T)	natural abundance	error
33	75	As	Arsenic	-1	1.5	1.4383	0.0003	7.3090505609529135	0.001524518645822064	100.0	100.0
34	77	Se	Selenium	-1	0.5	0.53356	5e-05	8.134221686648205	0.000762259322911032	7.63	0.16
34	79	Se	Selenium	3.3e5 	3.5	-1.018	0.015	-2.21708568778123	0.03266825669618708	-1	-1
35	79	Br	Bromine	-1	1.5	2.1046	0.0006	10.695006473323717	0.003049037291644128	50.69	0.07
35	81	Br	Bromine	-1	1.5	2.2686	0.0006	11.528409999706447	0.003049037291644128	49.31	0.07
36	81	Kr	Krypton	2.3e5 	3.5	-0.907	0.002	-1.9753405882294455	0.00435576755949161	-1	-1
36	83	Kr	Krypton	-1	4.5	-0.97073	3e-06	-1.6443288722876133	5.0817288194068795e-06	11.5	0.019
36	85	Kr	Krypton	10.74 	4.5	-1.0055	0.0004	-1.703226109304539	0.000677563842587584	-1	-1
37	85	Rb	Rubidium	-1	2.5	1.35306	4e-05	4.125530397832004	0.00012196149166576514	72.17	0.02
37	87	Rb	Rubidium	5.0e10 	1.5	2.75129	8e-05	13.981309683545954	0.00040653830555255035	27.83	0.02
38	87	Sr	Strontium	-1	4.5	-1.09316	0.00011	-1.851714225407608	0.00018633005671158558	7.0	0.01
39	89	Y	Yttrium	-1	0.5	-0.137298	5e-06	-2.0931336103407774	7.62259322911032e-05	100.0	100.0
40	91	Zr	Zirconium	-1	2.5	-1.3022	0.0004	-3.970456361178983	0.0012196149166576512	11.22	0.05
41	91	Nb	Niobium	680 	4.5	6.513	0.003	11.032433266932335	0.00508172881940688	-1	-1
41	92	Nb	Niobium	3.5e7 	7	5.13	0.004	5.58627189504799	0.00435576755949161	-1	-1
41	93	Nb	Niobium	-1	4.5	6.163	0.002	10.439564904668199	0.0033878192129379193	100.0	100.0
